concept_code,freq,freq_per
J01DA01,212106,0.468%
E000001,126123,0.278%
E000002,53278,0.117%
J01DA09,43863,0.097%
NA,40881,0.090%
NA,40881,0.090%
G03DC05,30761,0.068%
L04AA01,29573,0.065%
E000007,21913,0.048%
E000006,20537,0.045%
J01DA06,17662,0.039%
S01EX03,16212,0.036%
J01DA08,14310,0.032%
E000003,14248,0.031%
A10AA02,12019,0.027%
A10AA01,10816,0.024%
G04AC01,4416,0.010%
E000004,4275,0.009%
1A1,4246,0.009%
N02CX04,3752,0.008%
B04AB02,3560,0.008%
L04AA11,3355,0.007%
A02BDXX,3299,0.007%
A10AA03,2489,0.005%
G04AB05,2404,0.005%
V03AA01,2227,0.005%
L04AA17,2145,0.005%
L04AA05,2090,0.005%
G04AA01,2070,0.005%
N06AA22,2069,0.005%
B04AB01,1925,0.004%
G04BX04,1867,0.004%
D11AX14,1796,0.004%
G04BX05,1632,0.004%
V03AB30,1251,0.003%
R06AE08,942,0.002%
B04AC04,686,0.002%
B04AC02,658,0.001%
G04BX08,564,0.001%
G04BXXX,552,0.001%
L03AA04,491,0.001%
D11AX15,446,0.001%
G04BDXX,443,0.001%
E000008,321,0.001%
J01DA39,272,0.001%
L01XX28,235,0.001%
B04AD02,234,0.001%
N02AC02,234,0.001%
P01BA05,210,0.000%
B01AC14,171,0.000%
B04AD01,169,0.000%
E000005,160,0.000%
V03AA02,156,0.000%
B04AB03,150,0.000%
N05CG01,131,0.000%
B04AC01,129,0.000%
J01DA23,103,0.000%
L04AA14,80,0.000%
M05XX,78,0.000%
N07AA05,74,0.000%
B04AX03,68,0.000%
A10AA04,40,0.000%
J01MA00,33,0.000%
J01DA63,15,0.000%
S01EXXX,14,0.000%
G04AB01,10,0.000%
R06AE02,10,0.000%
