CodeId,ShortName,CODE1,freq_finngen,freq_finngen_per
XLA10,NA,XLA10,7408,0.127355%
RD211,NA,RD211,3200,0.055013%
XF640,NA,XF640,2477,0.042583%
1LA05,NA,1LA05,1632,0.028057%
1XC03,NA,1XC03,1619,0.027833%
WQ066,NA,WQ066,1300,0.022349%
4AA12,NA,4AA12,1102,0.018945%
6BA02,NA,6BA02,993,0.017071%
1XC02,NA,1XC02,830,0.014269%
1XC07,NA,1XC07,774,0.013306%
3AC01,NA,3AC01,700,0.012034%
1CX01,NA,1CX01,667,0.011467%
4AB02,NA,4AB02,588,0.010109%
1CD01,NA,1CD01,580,0.009971%
3AX01,NA,3AX01,571,0.009816%
XMA00,NA,XMA00,562,0.009662%
1BC07,NA,1BC07,555,0.009541%
1CD02,NA,1CD02,539,0.009266%
WQ053,NA,WQ053,521,0.008957%
XLA00,NA,XLA00,490,0.008424%
XCK20,NA,XCK20,469,0.008063%
1XX32,NA,1XX32,417,0.007169%
XX9XW,NA,XX9XW,414,0.007117%
TFN04,NA,TFN04,372,0.006395%
PHD79,NA,PHD79,371,0.006378%
4AA33,NA,4AA33,362,0.006223%
FM2CE,NA,FM2CE,339,0.005828%
XFP02,NA,XFP02,328,0.005639%
WQ064,NA,WQ064,310,0.005329%
RJ421,NA,RJ421,294,0.005054%
RJ410,NA,RJ410,292,0.005020%
4AA23,NA,4AA23,288,0.004951%
WQ021,NA,WQ021,288,0.004951%
4CJ01,NA,4CJ01,282,0.004848%
1XC13,NA,1XC13,281,0.004831%
RJ411,NA,RJ411,260,0.004470%
1AA09,NA,1AA09,257,0.004418%
RS224,NA,RS224,211,0.003627%
3DX05,NA,3DX05,206,0.003541%
WQ054,NA,WQ054,202,0.003473%
5BA08,NA,5BA08,201,0.003455%
0192,NA,0192,186,0.003198%
WQ068,NA,WQ068,185,0.003180%
4AC07,NA,4AC07,184,0.003163%
90621,NA,90621,175,0.003009%
WQ045,NA,WQ045,155,0.002665%
WQ026,NA,WQ026,152,0.002613%
WQ007,NA,WQ007,150,0.002579%
1BA04,NA,1BA04,145,0.002493%
0189,NA,0189,133,0.002286%
1008,NA,1008,131,0.002252%
RJ190,NA,RJ190,127,0.002183%
WQ031,NA,WQ031,124,0.002132%
WQ020,NA,WQ020,119,0.002046%
RF220,NA,RF220,116,0.001994%
2AB04,NA,2AB04,112,0.001925%
XQ817,NA,XQ817,109,0.001874%
0103,NA,0103,107,0.001839%
RD160,NA,RD160,106,0.001822%
RD210,NA,RD210,100,0.001719%
JDA02,NA,JDA02,96,0.001650%
0,NA,0,94,0.001616%
1XC06,NA,1XC06,94,0.001616%
4AA24,NA,4AA24,94,0.001616%
0701,NA,0701,93,0.001599%
RP210,NA,RP210,92,0.001582%
1200,NA,1200,87,0.001496%
1CX08,NA,1CX08,86,0.001478%
5BA03,NA,5BA03,83,0.001427%
1XC14,NA,1XC14,82,0.001410%
5AB14,NA,5AB14,81,0.001393%
TNX03,NA,TNX03,77,0.001324%
RJ425,NA,RJ425,72,0.001238%
WQ055,NA,WQ055,71,0.001221%
ZX197,NA,ZX197,71,0.001221%
0601,NA,0601,70,0.001203%
1XC08,NA,1XC08,70,0.001203%
PX1AE,NA,PX1AE,68,0.001169%
RJ414,NA,RJ414,68,0.001169%
XP60W,NA,XP60W,65,0.001117%
0193,NA,0193,63,0.001083%
TAD00,NA,TAD00,63,0.001083%
XX3ZW,NA,XX3ZW,61,0.001049%
1XC17,NA,1XC17,60,0.001031%
90494,NA,90494,60,0.001031%
0702,NA,0702,59,0.001014%
1LA04,NA,1LA04,59,0.001014%
RS340,NA,RS340,58,0.000997%
XX7FW,NA,XX7FW,58,0.000997%
1XC18,NA,1XC18,57,0.000980%
4AB0M,NA,4AB0M,57,0.000980%
0116,NA,0116,56,0.000963%
WQ056,NA,WQ056,56,0.000963%
JJ5AT,NA,JJ5AT,55,0.000946%
WQ032,NA,WQ032,54,0.000928%
0602,NA,0602,53,0.000911%
1CD04,NA,1CD04,53,0.000911%
0108,NA,0108,52,0.000894%
3AA13,NA,3AA13,52,0.000894%
5906,NA,5906,52,0.000894%
XX8XW,NA,XX8XW,52,0.000894%
1BC05,NA,1BC05,49,0.000842%
1AA01,NA,1AA01,46,0.000791%
0617,NA,0617,45,0.000774%
2BX02,NA,2BX02,45,0.000774%
XX4AW,NA,XX4AW,45,0.000774%
2AA01,NA,2AA01,44,0.000756%
NGJ66,NA,NGJ66,44,0.000756%
WQ022,NA,WQ022,44,0.000756%
\1,NA,\1,43,0.000739%
0700,NA,0700,42,0.000722%
1XX08,NA,1XX08,42,0.000722%
RS313,NA,RS313,42,0.000722%
4AC05,NA,4AC05,41,0.000705%
5CM18,NA,5CM18,41,0.000705%
0147,NA,0147,40,0.000688%
90492,NA,90492,39,0.000670%
XQ809,NA,XQ809,39,0.000670%
1DC02,NA,1DC02,38,0.000653%
RS221,NA,RS221,38,0.000653%
AB14W,NA,AB14W,37,0.000636%
RF122,NA,RF122,36,0.000619%
RJ422,NA,RJ422,36,0.000619%
3002,NA,3002,34,0.000585%
WQ025,NA,WQ025,34,0.000585%
RF211,NA,RF211,33,0.000567%
RS311,NA,RS311,33,0.000567%
0144,NA,0144,32,0.000550%
3AX0X,NA,3AX0X,32,0.000550%
RS314,NA,RS314,31,0.000533%
5BX04,NA,5BX04,30,0.000516%
XFC00,NA,XFC00,30,0.000516%
A420_,NA,A420_,29,0.000499%
RS222,NA,RS222,29,0.000499%
XKD11,NA,XKD11,29,0.000499%
XX3XW,NA,XX3XW,29,0.000499%
8710,NA,8710,28,0.000481%
1AD02,NA,1AD02,27,0.000464%
PHACO,NA,PHACO,27,0.000464%
1XA02,NA,1XA02,26,0.000447%
0817,NA,0817,24,0.000413%
1653,NA,1653,24,0.000413%
GB3AV,NA,GB3AV,24,0.000413%
WQ033,NA,WQ033,24,0.000413%
0191,NA,0191,23,0.000395%
0618,NA,0618,23,0.000395%
0631,NA,0631,23,0.000395%
5AB01,NA,5AB01,23,0.000395%
RJ412,NA,RJ412,23,0.000395%
RS310,NA,RS310,23,0.000395%
WQ001,NA,WQ001,23,0.000395%
XX3CW,NA,XX3CW,23,0.000395%
1287,NA,1287,22,0.000378%
1302,NA,1302,22,0.000378%
1LA0P,NA,1LA0P,22,0.000378%
RD130,NA,RD130,21,0.000361%
RJ511,NA,RJ511,21,0.000361%
\2,NA,\2,20,0.000344%
0620,NA,0620,20,0.000344%
9AB02,NA,9AB02,20,0.000344%
A211_,NA,A211_,20,0.000344%
NGL34,NA,NGL34,20,0.000344%
0604,NA,0604,19,0.000327%
XX2ET,NA,XX2ET,19,0.000327%
5AH02,NA,5AH02,18,0.000309%
NGL50,NA,NGL50,18,0.000309%
RK112,NA,RK112,18,0.000309%
TNX02,NA,TNX02,18,0.000309%
TNY20,NA,TNY20,18,0.000309%
WQ030,NA,WQ030,18,0.000309%
4AB0X,NA,4AB0X,17,0.000292%
RK110,NA,RK110,17,0.000292%
RK320,NA,RK320,17,0.000292%
\10,NA,\10,16,0.000275%
0080,NA,0080,16,0.000275%
1XC0V,NA,1XC0V,16,0.000275%
3001,NA,3001,16,0.000275%
A123_,NA,A123_,16,0.000275%
EFB04,NA,EFB04,16,0.000275%
NBJ50,NA,NBJ50,16,0.000275%
XX6XW,NA,XX6XW,16,0.000275%
0083,NA,0083,15,0.000258%
0114,NA,0114,15,0.000258%
1240,NA,1240,15,0.000258%
2BD01,NA,2BD01,15,0.000258%
QX1CG,NA,QX1CG,15,0.000258%
RJ630,NA,RJ630,15,0.000258%
XGW01,NA,XGW01,15,0.000258%
XQ828,NA,XQ828,15,0.000258%
0615,NA,0615,14,0.000241%
2063,NA,2063,14,0.000241%
A120_,NA,A120_,14,0.000241%
IOL,NA,IOL,14,0.000241%
0703,NA,0703,13,0.000223%
RS142,NA,RS142,13,0.000223%
RS230,NA,RS230,13,0.000223%
0102,NA,0102,12,0.000206%
0605,NA,0605,12,0.000206%
0607,NA,0607,12,0.000206%
0619,NA,0619,12,0.000206%
1001,NA,1001,12,0.000206%
1XX25,NA,1XX25,12,0.000206%
6280,NA,6280,12,0.000206%
A210_,NA,A210_,12,0.000206%
SJD60,NA,SJD60,12,0.000206%
T,NA,T,12,0.000206%
XX4BW,NA,XX4BW,12,0.000206%
XX8LW,NA,XX8LW,12,0.000206%
ZX196,NA,ZX196,12,0.000206%
0096,NA,0096,11,0.000189%
0614,NA,0614,11,0.000189%
4AC0L,NA,4AC0L,11,0.000189%
A222_,NA,A222_,11,0.000189%
A230_,NA,A230_,11,0.000189%
1BA01,NA,1BA01,10,0.000172%
5897,NA,5897,10,0.000172%
5900,NA,5900,10,0.000172%
912,NA,912,10,0.000172%
AX9VV,NA,AX9VV,10,0.000172%
PAA39,NA,PAA39,10,0.000172%
R1400,NA,R1400,10,0.000172%
RJ420,NA,RJ420,10,0.000172%
T741V,NA,T741V,10,0.000172%
WQ039,NA,WQ039,10,0.000172%
0002,NA,0002,9,0.000155%
0100,NA,0100,9,0.000155%
0113,NA,0113,9,0.000155%
0120,NA,0120,9,0.000155%
0611,NA,0611,9,0.000155%
0616,NA,0616,9,0.000155%
1201,NA,1201,9,0.000155%
90496,NA,90496,9,0.000155%
TÃ€NÃ,NA,TÃ€NÃ,9,0.000155%
XQ890,NA,XQ890,9,0.000155%
0603,NA,0603,8,0.000138%
0623,NA,0623,8,0.000138%
A220_,NA,A220_,8,0.000138%
A221_,NA,A221_,8,0.000138%
RD150,NA,RD150,8,0.000138%
RJ521,NA,RJ521,8,0.000138%
XX9CN,NA,XX9CN,8,0.000138%
\8,NA,\8,7,0.000120%
0092,NA,0092,7,0.000120%
1246,NA,1246,7,0.000120%
5904,NA,5904,7,0.000120%
9124,NA,9124,7,0.000120%
913,NA,913,7,0.000120%
B03AX,NA,B03AX,7,0.000120%
QX1BG,NA,QX1BG,7,0.000120%
RP120,NA,RP120,7,0.000120%
RS122,NA,RS122,7,0.000120%
\11,NA,\11,6,0.000103%
3AA02,NA,3AA02,6,0.000103%
62,NA,62,6,0.000103%
FEMTO,NA,FEMTO,6,0.000103%
GDA12,NA,GDA12,6,0.000103%
HA1WT,NA,HA1WT,6,0.000103%
JN5SN,NA,JN5SN,6,0.000103%
RK220,NA,RK220,6,0.000103%
YAG,NA,YAG,6,0.000103%
